Application,Ratings,Reviews,File_Size,Downloads,Category,Purchase_Price,Content Rating,Genres,Android_Supported,App_Type,Ratings_Score,Reviews_Score,Downloads_Score,File_Size_Score,Purchase_Price_Score,Content_Rating_Score,Success_Score
Chakra Cleansing,1.8,539,99.0,50000,Free,0.0,1,Libraries ,4.0,Free,0.36,6.896260008501208e-06,5e-05,0.010000000000000009,1.0,0.2,0.0
RadRevision: Anatomy on CT,1.0,568,42.0,50000,Free,0.0,1,Medical,4.0,Free,0.2,7.267301827140419e-06,5e-05,0.5800000000000001,1.0,0.2,0.026887504168745573
Hojiboy Tojiboyev Life Hacks,1.0,15,37.0,1000,Free,0.0,1,Comics,4.0,Free,0.2,1.919181820547646e-07,1e-06,0.63,1.0,0.2,0.0347717757153551
Sago Mini Babies,2.0,253,83.0,10000,Paid,3.99,1,Education,4.0,Paid,0.4,3.2370200039903627e-06,1e-05,0.17000000000000004,0.990025,0.2,0.040313920490243266
Audiowalk EB,2.2,0,90.0,10,Free,0.0,1, Local,4.2,Free,0.44000000000000006,0.0,1e-08,0.09999999999999998,1.0,0.2,0.045842603962144665
Miraculous Ladybug & Cat Noir - The Official Game,2.5,184210,99.0,10000000,Free,0.0,1,Action,4.4,Free,0.5,0.0023568832210872125,0.01,0.010000000000000009,1.0,0.2,0.0602635289438798
DM Accounting and Payroll,2.5,0,92.0,100,Free,0.0,1,Finance,5.0,Free,0.5,0.0,1e-07,0.07999999999999996,1.0,0.2,0.06640365682719074
Arcraft - AR Sandbox,2.3,469,80.0,10000,Free,0.0,1,Adventure,4.0,Free,0.45999999999999996,6.000641825578973e-06,1e-05,0.19999999999999996,1.0,0.2,0.06957206109533495
Sweet Baby Girl - Dream House and Play Time,1.8,95537,58.0,10000000,Free,0.0,1,Education,4.4,Free,0.36,0.0012223524905977364,0.01,0.42000000000000004,1.0,0.2,0.06966350633423023
Farm Fruit Pop: Party Time,1.0,9305,14.0,1000000,Free,0.0,1,Casual,4.0,Free,0.2,0.00011905324560130564,0.001,0.86,1.0,0.2,0.07163235755426564
Border Ag & Energy,1.0,0,12.0,50,Free,0.0,1,Business,4.3,Free,0.2,0.0,5e-08,0.88,1.0,0.2,0.07431171393425959
CJ'S TIRE AND AUTO INC.,1.0,5,11.0,100,Free,0.0,1,Productivity,4.1,Free,0.2,6.39727273515882e-08,1e-07,0.89,1.0,0.2,0.07589335888377935
"Pulse Nabd - World News, Urgent",1.0,357944,12.0,10000000,Free,0.0,1, Magazines,4.1,Free,0.2,0.004579730783827377,0.01,0.88,1.0,0.2,0.07941870752104545
"Resume Maker:Free CV Maker,Templates Builder",1.0,715,7.1,100000,Free,0.0,1,Business,4.0,Free,0.2,9.148100011277112e-06,0.0001,0.929,1.0,0.2,0.08210978134883352
Bilingual Dictionary Audio App,2.6,68,87.0,5000,Free,0.0,1, Reference,4.1,Free,0.52,8.700290919815995e-07,5e-06,0.13,1.0,0.2,0.08222221226818166
ParaTek Ai Speech generator,1.0,448,4.3,50000,Free,0.0,1,Tools,1.6,Free,0.2,5.731956370702302e-06,5e-05,0.957,1.0,0.2,0.08651431222047354
Predator Calls for Hunting AU,2.5,27,78.0,10000,Free,0.0,1,Sports,4.0,Free,0.5,3.454527276985763e-07,1e-05,0.21999999999999997,1.0,0.2,0.0885510078735572
Best Car Wallpapers,1.0,994,2.9,100000,Free,0.0,1, Vehicles,4.1,Free,0.2,1.2717778197495734e-05,0.0001,0.971,1.0,0.2,0.08875285154017143
ChatBolo - AI Chatbot Online,1.0,1407,1.4,100000,Free,0.0,1,Entertainment,2.2,Free,0.2,1.800192547673692e-05,0.0001,0.986,1.0,0.2,0.09112569366420288
Mobi Calculator free & AD free!,1.4,77311,21.72,5000000,Free,0.0,1,Tools,-1.0,Free,0.27999999999999997,0.000989159104855727,0.005,0.7828,1.0,0.2,0.09302135215014895
Mini Golf King - Multiplayer Game,3.0,531458,100.0,5000000,Free,0.0,1,Sports,4.0,Free,0.6,0.006799763546564072,0.005,0.0,1.0,0.2,0.09620123925215802
"Grow Stone Online : 2d pixel RPG, MMORPG game",2.0,84389,48.0,1000000,Free,0.0,1,Role Playing,4.0,Free,0.4,0.0010797188976946353,0.001,0.52,1.0,0.2,0.0970141864307482
Skip-Boâ„¢,2.3,33661,60.0,100000,Paid,2.99,1,Card,4.1,Paid,0.45999999999999996,0.00043067719507636204,0.0001,0.4,0.992525,0.2,0.10068954278003171
Fossil Q Legacy,2.3,680,60.0,50000,Free,0.0,1,Lifestyle,4.4,Free,0.45999999999999996,8.700290919815994e-06,5e-05,0.4,1.0,0.2,0.10122357730500814
F-Stop Gallery,1.4,12726,15.0,1000000,Free,0.0,1,Photography,4.1,Free,0.27999999999999997,0.0001628233856552623,0.001,0.85,1.0,0.2,0.10168652609130426
"CYANOGEN. Rent, buy an apartment, a room, a cottage 3+",1.9,37711,40.0,1000000,Free,0.0,1, Home,4.4,Free,0.38,0.0004824951042311485,0.001,0.6,1.0,0.2,0.1017118059892041
Assassin's Creed Identity,1.4,42529,92.0,500000,Paid,1.99,3,Action,4.1,Paid,0.27999999999999997,0.0005441392243071389,0.0005,0.07999999999999996,0.995025,0.6,0.10583085990853716
Navi Radiography Pro,3.2,11,100.0,500,Paid,15.99,1,Medical,4.0,Paid,0.64,1.4074000017349403e-07,5e-07,0.0,0.960025,0.2,0.10594623892772825
Black Commando | Special Ops | FPS Shooting,1.0,1167,72.0,100000,Free,0.0,3,Action,4.1,Free,0.2,1.4931234563860685e-05,0.0001,0.28,1.0,0.6,0.10599264279434878
Barbieâ„¢ Fashion Closet,2.8,68286,85.0,10000000,Free,0.0,1,Casual,4.1,Free,0.5599999999999999,0.0008736883319861103,0.01,0.15000000000000002,1.0,0.2,0.10601310551476972
Looper!,2.4,48256,62.0,1000000,Free,0.0,1,Puzzle,4.1,Free,0.48,0.000617413586215648,0.001,0.38,1.0,0.2,0.10646732395060261
Chart - Myanmar Keyboard,1.7,39364,28.0,5000000,Free,0.0,1,Lifestyle,4.0,Free,0.33999999999999997,0.0005036444878935835,0.005,0.72,1.0,0.2,0.10677465023159866
Soccer Manager 2018,3.1,63779,95.0,1000000,Free,0.0,1,Sports,5.0,Free,0.62,0.0008160233155513888,0.001,0.050000000000000044,1.0,0.2,0.10964626250106195
AB Repeat Player,1.6,1628,18.0,100000,Free,0.0,1,Video Players ,4.4,Free,0.32,2.082952002567712e-05,0.0001,0.8200000000000001,1.0,0.2,0.1123195739005799
OrthoFlow,2.6,0,66.0,10,Paid,5.99,1,Medical,4.2,Paid,0.52,0.0,1e-08,0.33999999999999997,0.985025,0.2,0.11424948017319576
"Avast Cleanup & Boost, Phone Cleaner, Optimizer",1.7,648380,24.0,10000000,Free,0.0,1,Tools,4.1,Free,0.33999999999999997,0.00829572739204455,0.01,0.76,1.0,0.2,0.11608974336054427
Bubble Shooter 2,1.7,23005,21.72,5000000,Free,0.0,1,Arcade,4.1,Free,0.33999999999999997,0.0002943385185446573,0.005,0.7828,1.0,0.2,0.11669064767048494
Baby Tiger Care - My Cute Virtual Pet Friend,1.8,432,63.0,100000,Free,0.0,2,Educational,4.4,Free,0.36,5.527243643177221e-06,0.0001,0.37,1.0,0.4,0.12022644461550588
Beauty Selfie Camera,2.4,2225,52.0,500000,Free,0.0,1,Beauty,4.1,Free,0.48,2.8467863671456747e-05,0.0005,0.48,1.0,0.2,0.12199966888449458
My Diet Diary Calorie Counter,2.5,18539,57.0,1000000,Free,0.0,1, Fitness,4.0,Free,0.5,0.00023719807847421873,0.001,0.43000000000000005,1.0,0.2,0.12225341786353994
9th stage,1.7,454,16.0,100000,Free,0.0,1, Drink,4.0,Free,0.33999999999999997,5.808723643524209e-06,0.0001,0.84,1.0,0.2,0.1233896992076964
Paw Patrol by ShuffleCards,2.5,3484,56.0,1000000,Free,0.0,1,Action ,4.0,Free,0.5,4.457619641858666e-05,0.001,0.43999999999999995,1.0,0.2,0.12381980133567044
Pregnancy Tracker & Countdown to Baby Due Date,2.6,658087,62.0,10000000,Free,0.0,1,Parenting,5.0,Free,0.52,0.008419924044924925,0.01,0.38,1.0,0.2,0.12717087809607971
BibApp TU BS,1.5,16,3.5,1000,Free,0.0,1,Education,4.0,Free,0.3,2.0471272752508224e-07,1e-06,0.965,1.0,0.2,0.127296322453501
A&W Restaurants,1.7,14,13.0,1000,Free,0.0,1,Food ,4.1,Free,0.33999999999999997,1.7912363658444695e-07,1e-06,0.87,1.0,0.2,0.12808712851302623
Qapital - Save Small. Live Large,2.2,8662,38.0,100000,Free,0.0,1,Finance,4.4,Free,0.44000000000000006,0.0001108263528638914,0.0001,0.62,1.0,0.2,0.12814285258548902
P XPERIA Themeâ„¢ | Design For SONY ðŸŽ¨,1.8,147,16.0,10000,Free,0.0,1,Personalization,4.4,Free,0.36,1.880798184136693e-06,1e-05,0.84,1.0,0.2,0.13125476577899828
Fortune City - A Finance App,3.3,49275,91.0,500000,Free,0.0,1,Finance,4.4,Free,0.6599999999999999,0.0006304512280499017,0.0005,0.08999999999999997,1.0,0.2,0.13153697121311436
"Mi Remote controller - for TV, STB, AC and more",2.0,114340,28.0,10000000,Free,0.0,1,Tools,4.2,Free,0.4,0.0014629283290761188,0.01,0.72,1.0,0.2,0.1329471779164887
Papumba Academy - Fun Learning For Kids,3.4,496,94.0,100000,Free,0.0,1,Education,4.2,Free,0.6799999999999999,6.346094553277549e-06,0.0001,0.06000000000000005,1.0,0.2,0.13446105486725823
Chat With Artificial Intelligence,1.6,32,2.8,1000,Free,0.0,1,Entertainment,4.0,Free,0.32,4.094254550501645e-07,1e-06,0.972,1.0,0.2,0.13631155079004392
Candy Day,2.5,11716,48.0,1000000,Free,0.0,1,Casual,4.0,Free,0.5,0.00014990089473024146,0.001,0.52,1.0,0.2,0.13648105982804645
CL Pro Client for Craigslist,1.6,48,2.2,5000,Free,0.0,1,Shopping,4.0,Free,0.32,6.141381825752467e-07,5e-06,0.978,1.0,0.2,0.13726243461804882
Es-Bg Offline Voice Translator,3.3,1,87.0,10,Paid,1.49,1, Local,3.0,Paid,0.6599999999999999,1.279454547031764e-08,1e-08,0.13,0.996275,0.2,0.13728176660619307
DF Wall Plus â€“ Droid Firewall,1.7,9,6.3,500,Free,0.0,1,Tools,4.0,Free,0.33999999999999997,1.1515090923285875e-07,5e-07,0.937,1.0,0.2,0.13868371452554346
Build a Bridge!,3.0,263454,74.0,10000000,Free,0.0,1,Puzzle,4.1,Free,0.6,0.0033707741823370634,0.01,0.26,1.0,0.2,0.13942451657375038
Stickman Legends: Shadow Wars,2.8,38419,100.0,1000000,Paid,0.99,2,Action,4.1,Paid,0.5599999999999999,0.0004915536424241334,0.001,0.0,0.997525,0.4,0.14105720150170842
Downvids Helper - One touch DW,1.8,197,9.8,10000,Free,0.0,1, Editors,4.0,Free,0.36,2.520525457652575e-06,1e-05,0.902,1.0,0.2,0.14106083659997423
Carros Rebaixados BR,3.4,20691,89.0,1000000,Free,0.0,1,Racing,4.4,Free,0.6799999999999999,0.0002647319403263423,0.001,0.10999999999999999,1.0,0.2,0.1428166054250008
BTS V LINE Launcher theme,1.7,3283,3.6,100000,Free,0.0,1,Personalization,4.0,Free,0.33999999999999997,4.200449277905281e-05,0.0001,0.964,1.0,0.2,0.14300460206002927
Beautiful Design Birthday Cake,1.7,665,3.0,500000,Free,0.0,1,Lifestyle,2.3,Free,0.33999999999999997,8.50837273776123e-06,0.0005,0.97,1.0,0.2,0.1441407167994899
MIX by Camera360,3.1,111066,74.0,5000000,Free,0.0,1,Photography,4.0,Free,0.62,0.001421038987206299,0.005,0.26,1.0,0.2,0.14480598652044083
Build.com - Shop Home Improvement & Expert Advice,3.1,118,72.0,50000,Free,0.0,1,House ,5.0,Free,0.62,1.5097563654974814e-06,5e-05,0.28,1.0,0.2,0.1455082613270669
Bi en LÃ­nea,2.0,5055,17.0,100000,Free,0.0,1,Finance,4.4,Free,0.4,6.467642735245567e-05,0.0001,0.83,1.0,0.2,0.14553698084096112
Sweet Fruit Candy,2.2,197540,29.0,10000000,Free,0.0,1,Puzzle,4.1,Free,0.44000000000000006,0.0025274345122065466,0.01,0.71,1.0,0.2,0.14726590542226542
Capital OneÂ® Mobile,3.2,510401,79.0,10000000,Free,0.0,1,Finance,5.0,Free,0.64,0.006530348802595593,0.01,0.20999999999999996,1.0,0.2,0.14758245911995746
G-Pix [Android P] EMUI 8/5 THEME,1.9,720,10.0,100000,Free,0.0,1,Personalization,4.4,Free,0.38,9.212072738628701e-06,0.0001,0.9,1.0,0.2,0.14869582700749007
Socle Commun BO du 23-04-2015,1.8,4,4.7,100,Paid,0.99,1, Demo,4.1,Paid,0.36,5.117818188127056e-08,1e-07,0.953,0.997525,0.2,0.14892646136934462
Rosetta Stone: Learn to Speak & Read New Languages,3.2,172508,76.0,5000000,Free,0.0,1,Education,5.0,Free,0.64,0.0022071614499935555,0.005,0.24,1.0,0.2,0.14961300221901802
Peak â€“ Brain Games & Training,2.1,272145,21.72,10000000,Free,0.0,1,Brain Games,5.0,Free,0.42000000000000004,0.003481971577019594,0.01,0.7828,1.0,0.2,0.15094747584399368
A Manual of Acupuncture,3.2,214,68.0,1000,Paid,33.99,1,Medical,4.0,Paid,0.64,2.738032730647975e-06,1e-06,0.31999999999999995,0.915025,0.2,0.15299976251246436
Of the wall Arapaho bk,2.0,0,12.0,5,Free,0.0,1,Communication,4.1,Free,0.4,0.0,5e-09,0.88,1.0,0.2,0.15339250089555498
"CallApp: Caller ID, Blocker & Phone Call Recorder",2.1,483565,20.0,10000000,Free,0.0,1,Communication,4.1,Free,0.42000000000000004,0.0061869943803541496,0.01,0.8,1.0,0.2,0.15388177103975786
Burner - Free Phone Number,2.2,14873,21.72,1000000,Free,0.0,1,Communication,-1.0,Free,0.44000000000000006,0.00019029327478003425,0.001,0.7828,1.0,0.2,0.154324884445549
Abs workout 7 minutes,2.2,37224,21.72,1000000,Free,0.0,1,Health ,-1.0,Free,0.44000000000000006,0.00047626416058710384,0.001,0.7828,1.0,0.2,0.15434749925435268
Mindvalley U Tallinn 2018,2.2,1,21.0,100,Free,0.0,1,Events,4.4,Free,0.44000000000000006,1.279454547031764e-08,1e-07,0.79,1.0,0.2,0.15497416314968104
DG TV,1.9,3,5.7,100,Free,0.0,1, Magazines,4.1,Free,0.38,3.838363641095292e-08,1e-07,0.943,1.0,0.2,0.15544865002316566
Br. Parking - Busy road Parking 3D 2018,2.4,41,30.0,5000,Free,0.0,1,Simulation,4.1,Free,0.48,5.245763642830232e-07,5e-06,0.7,1.0,0.2,0.15655814476382757
Bank of America Mobile Banking,2.8,341090,53.0,10000000,Free,0.0,1,Finance,4.4,Free,0.5599999999999999,0.004364091514470644,0.01,0.47,1.0,0.2,0.156900846740172
BP Toolbox,2.0,32,9.6,1000,Free,0.0,1,Health ,4.3,Free,0.4,4.094254550501645e-07,1e-06,0.904,1.0,0.2,0.1571888841847059
Servidor Privado CR y CoC - Royale Servers PRO,1.9,55,4.3,100,Paid,1.99,1,Tools,2.3,Paid,0.38,7.037000008674702e-07,1e-07,0.957,0.995025,0.2,0.15726953824833095
TETRIS Blitz,3.7,201631,96.0,5000000,Free,0.0,1,Puzzle,4.1,Free,0.74,0.002579776997725616,0.005,0.040000000000000036,1.0,0.2,0.1575505497890341
Cars: Lightning League,3.3,58795,77.0,10000000,Free,0.0,1,Action ,4.0,Free,0.6599999999999999,0.0007522553009273257,0.01,0.22999999999999998,1.0,0.2,0.15819683597917264
BD Earn Pro,1.9,540,3.2,10000,Free,0.0,1,Entertainment,4.1,Free,0.38,6.909054553971525e-06,1e-05,0.968,1.0,0.2,0.15940793117704485
Frequencies Free,1.9,382,3.1,100000,Free,0.0,1,Tools,4.0,Free,0.38,4.8875163696613385e-06,0.0001,0.969,1.0,0.2,0.15960863656528657
Shred! Downhill Mountainbiking,3.1,41683,63.0,1000000,Free,0.0,1,Arcade,2.3,Free,0.62,0.0005333150388392502,0.001,0.37,1.0,0.2,0.16023562302241542
Autool BT-BOX,2.2,4,17.0,500,Free,0.0,1,Tools,4.3,Free,0.44000000000000006,5.117818188127056e-08,5e-07,0.83,1.0,0.2,0.16130082064407897
All Email Providers,2.0,20901,7.3,1000000,Free,0.0,1,Communication,4.1,Free,0.4,0.000267418794875109,0.001,0.927,1.0,0.2,0.1613217270488989
Car Crash III Beam DH Real Damage Simulator 2018,3.9,151,100.0,10000,Free,0.0,1,Racing,4.1,Free,0.78,1.9319763660179638e-06,1e-05,0.0,1.0,0.2,0.164468709317718
Rent.com Apartment Homes,2.0,7508,5.1,1000000,Free,0.0,1, Home,5.0,Free,0.4,9.606144739114484e-05,0.001,0.949,1.0,0.2,0.16478773153712636
Equestria Girls,2.9,392596,53.0,10000000,Free,0.0,1, Adventure,4.0,Free,0.58,0.005023087373464824,0.01,0.47,1.0,0.2,0.16486104149668754
"The Championships, Wimbledon 2018",3.8,24082,95.0,1000000,Free,0.0,1,Sports,4.4,Free,0.76,0.0003081182440161894,0.001,0.050000000000000044,1.0,0.2,0.16496266277663812
ARY NEWS URDU,2.1,1071,9.7,500000,Free,0.0,1,News ,4.1,Free,0.42000000000000004,1.3702958198710192e-05,0.0005,0.903,1.0,0.2,0.16517662260279525
ABCmouse.com,3.7,50887,91.0,5000000,Free,0.0,1,Education,4.4,Free,0.74,0.0006510760353480537,0.005,0.08999999999999997,1.0,0.2,0.16530610738924642
Bu Hangi ÃœnlÃ¼?,2.3,1,19.0,10,Free,0.0,1,Trivia,4.0,Free,0.45999999999999996,1.279454547031764e-08,1e-08,0.81,1.0,0.2,0.16604543360988044
San Dimas AH,2.5,0,29.0,100,Free,0.0,1,Medical,4.0,Free,0.5,0.0,1e-07,0.71,1.0,0.2,0.1660454753017138
AI Benchmark,3.9,97,99.0,5000,Free,0.0,1,Tools,4.1,Free,0.78,1.241070910620811e-06,5e-06,0.010000000000000009,1.0,0.2,0.16604789842236906
Interactive CT & MRI Anat.Lite,2.2,534,14.0,100000,Free,0.0,1,Medical,2.2,Free,0.44000000000000006,6.83228728114962e-06,0.0001,0.86,1.0,0.2,0.16609341664101768
Just A Regular Arcade,3.8,40847,94.0,1000000,Free,0.0,1,Action,2.3,Free,0.76,0.0005226187988260646,0.001,0.06000000000000005,1.0,0.2,0.16656124182015833
PIO bv App,3.9,2,98.0,10,Free,0.0,1,Business,4.1,Free,0.78,2.558909094063528e-08,1e-08,0.020000000000000018,1.0,0.2,0.1676270507879457
